Experimental Tm Analysis,,,,,,,,,,
,,,,,,,,,,
Instrument Name:,,,DU 800 Spectrophotometer,,,,,,,
Serial Number:,,,8001246,,,,,,,
Software Version:,,,"2.0,  Build 83",,,,,,,
Firmware Version:,,,2.0.081,,,,,,,
Method Name:,,,HP3,,,,,,,
Organization:,,,,,,,,,,
Department:,,,,,,,,,,
Operator:,,,,,,,,,,
Product Name:,,,,,,,,,,
Component Name:,,,,,,,,,,
Lot Number:,,,,,,,,,,
Comment:,,,,,,,,,,
Signature 1:,,,,,,,,,,
Signature 2:,,,,,,,,,,
Signature 3:,,,,,,,,,,
Signature 4:,,,,,,,,,,
Signature 5:,,,,,,,,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Justin HP_4\hp4ap25s Melt 1 10807.dux,,,,,,,
Date Acquired:,,,10/8/2007 13:31,,,,,,,
,,,,,,,,,,
Analytical Wavelength:,,,280.0 nm,,,,,,,
Second Wavelength:,,,280.0 nm,,,,,,,
Use of 2nd WL:,,,None,,,,,,,
Calc Mode:,,,First Derivative,,,,,,,
Ramp 1:,,,Yes,,,,,,,
  Start Temperature:,,,30.0 °C,,,,,,,
  Delay:,,,0.5 min,,,,,,,
  Ramp Rate:,,,1.0 °C/min,,,,,,,
  Read Interval:,,,0.5 °C,,,,,,,
Ramp 2:,,,No,,,,,,,
Ramp 3:,,,No,,,,,,,
End Temperature:,,,110.0 °C,,,,,,,
End Dwell:,,,0.0 min,,,,,,,
Reverse Experiment:,,,No,,,,,,,
Final Temperature:,,,Ambient Temp,,,,,,,
Auto Print:,,,No,,,,,,,
Auto Save:,,,Yes,,,,,,,
Filename Prefix:,,,Default,,,,,,,
Read Average Time:,,,0.50 sec,,,,,,,
Notes:,,,,,,,,,,
,,,,,,,,,,
DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm,,,,,,,,,,
  ,,,,,,,,,,
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4,,
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>,,
 ,, ,, ,, ,, ,,
29.7,,0.0003,,1.3494,,1.3494,,0.5628,,
30.1,,0.0003,,1.3515,,1.3494,,0.5632,,
